Date,Total,MA7,MA30,STD7
2024-10-22,1,3.0,3.1,2.581988897471617
2024-10-23,9,4.0,3.4,3.366501646120696
2024-10-24,4,3.4285714285714284,3.466666666666667,2.8784916685157023
2024-10-25,3,3.2857142857142856,3.466666666666667,2.870208222079935
2024-10-26,0,3.2857142857142856,3.4,2.870208222079935
2024-10-27,0,2.857142857142857,3.3,3.1320159337914997
2024-10-28,5,3.142857142857143,3.466666666666667,3.2366943748507526
2024-10-29,5,3.7142857142857144,3.6333333333333333,3.1471831698777764
2024-10-30,6,3.2857142857142856,3.466666666666667,2.429971585175829
2024-10-31,0,2.7142857142857144,3.3666666666666667,2.690370836538203
2024-11-01,4,2.857142857142857,3.466666666666667,2.7342623276105944
2024-11-02,2,3.142857142857143,3.3333333333333335,2.4784787961282158
2024-11-03,0,3.142857142857143,3.2,2.4784787961282158
2024-11-04,8,3.5714285714285716,3.466666666666667,3.0472470011002244
2024-11-05,1,3.0,3.5,3.1091263510296097
2024-11-06,10,3.5714285714285716,3.6333333333333333,3.994043183589904
2024-11-07,2,3.857142857142857,3.533333333333333,3.7606990231680553
2024-11-08,5,4.0,3.5,3.7859388972001855
2024-11-09,0,3.7142857142857144,3.1666666666666665,4.029651999626675
2024-11-10,3,4.142857142857143,3.2333333333333334,3.7161167647860354
2024-11-11,3,3.4285714285714284,3.3333333333333335,3.30943816264649
2024-11-12,10,4.714285714285714,3.6666666666666665,3.903600291794135
2024-11-13,13,5.142857142857143,3.966666666666667,4.670066788550654
2024-11-14,8,6.0,4.066666666666666,4.546060565661953
2024-11-15,7,6.285714285714286,4.233333333333333,4.535573676110728
2024-11-16,0,6.285714285714286,3.966666666666667,4.535573676110728
2024-11-17,0,5.857142857142857,3.8333333333333335,5.01426536422407
2024-11-18,3,5.857142857142857,3.933333333333333,5.01426536422407
2024-11-19,4,5.0,3.966666666666667,4.6904157598234315
2024-11-20,4,3.7142857142857144,4.0,3.093772546815393
2024-11-21,6,3.4285714285714284,4.166666666666667,2.699206232527318
2024-11-22,2,2.7142857142857144,3.933333333333333,2.214669705568291
2024-11-23,0,2.7142857142857144,3.8,2.214669705568291
2024-11-24,0,2.7142857142857144,3.7,2.214669705568291
2024-11-25,7,3.2857142857142856,3.933333333333333,2.7516228977511807
2024-11-26,5,3.4285714285714284,4.1,2.8199966227605637
2024-11-27,8,4.0,4.2,3.3166247903554043
2024-11-28,0,3.142857142857143,4.033333333333333,3.484660262185853
2024-11-29,1,3.0,3.8666666666666667,3.559026084010442
2024-11-30,0,3.0,3.8666666666666667,3.559026084010442
2024-12-01,0,3.0,3.7333333333333334,3.559026084010442
2024-12-02,7,3.0,3.9,3.559026084010442
2024-12-03,7,3.2857142857142856,4.133333333333334,3.817254061682115
2024-12-04,1,2.2857142857142856,3.9,3.2513733362117323
2024-12-05,13,4.142857142857143,4.3,4.980915960897537
2024-12-06,12,5.714285714285714,4.366666666666666,5.52914356581818
2024-12-07,0,5.714285714285714,4.3,5.52914356581818
2024-12-08,0,5.714285714285714,4.133333333333334,5.52914356581818
2024-12-09,0,4.714285714285714,4.133333333333334,5.879747322073338
2024-12-10,5,4.428571428571429,4.2,5.798193478924935
2024-12-11,1,4.428571428571429,4.133333333333334,5.798193478924935
2024-12-12,4,3.142857142857143,3.933333333333333,4.413183712037208
2024-12-13,10,2.857142857142857,3.8333333333333335,3.7606990231680566
2024-12-14,0,2.857142857142857,3.566666666666667,3.7606990231680566
2024-12-15,0,2.857142857142857,3.3333333333333335,3.7606990231680566
2024-12-16,4,3.4285714285714284,3.466666666666667,3.552329886011102
2024-12-17,5,3.4285714285714284,3.6333333333333333,3.552329886011102
2024-12-18,22,6.428571428571429,4.266666666666667,7.656307701434656
2024-12-19,16,8.142857142857142,4.666666666666667,8.335237877600763
2024-12-20,3,7.142857142857143,4.633333333333334,8.493695140682714
2024-12-21,0,7.142857142857143,4.433333333333334,8.493695140682714
2024-12-22,0,7.142857142857143,4.366666666666666,8.493695140682714
2024-12-23,2,6.857142857142857,4.433333333333334,8.64924989866311
2024-12-24,0,6.142857142857143,4.433333333333334,9.026416258748014
2024-12-25,0,3.0,4.2,5.85946527708232
2024-12-26,2,1.0,4.1,1.2909944487358314
2024-12-27,0,0.5714285714285714,3.8333333333333335,0.975900072948569
2024-12-28,0,0.5714285714285714,3.8333333333333335,0.975900072948569
2024-12-29,1,0.7142857142857143,3.8333333333333335,0.951189731211378
2024-12-30,2,0.7142857142857143,3.9,0.951189731211378
